map,i,start,goal_near,goal_far,closed,forward,backward
brc101d.map,38,107805,68141,140956,3253,3429,5368
brc101d.map,39,66568,53919,83398,90,315,2895
brc101d.map,40,186,122487,118179,14915,205,6191
brc101d.map,41,154489,83367,62459,4453,694,5454
brc101d.map,42,77297,140953,141339,4600,5841,4868
brc101d.map,43,73565,151999,129838,6597,318,258
brc101d.map,44,19106,87447,149476,6442,6445,13673
brc101d.map,45,50977,126491,111279,5685,2924,395
brc101d.map,46,139824,44653,59284,11014,379,6671
brc101d.map,47,80512,99139,6786,367,7435,6174
brc101d.map,48,112802,76325,76674,4049,0,0
brc101d.map,49,19721,24772,94090,28,7228,8491
brc101d.map,50,145115,141677,77334,39,6866,9598
brc101d.map,51,141327,101982,99455,4256,1424,5661
brc101d.map,52,46880,61292,57076,131,5276,3460
brc101d.map,53,121859,82111,83039,1425,22,4510
brc101d.map,54,148496,101285,38050,2886,8911,8876
brc101d.map,55,83024,113126,21639,4769,6733,5399
brc101d.map,56,58330,55515,97756,30,3310,1729
brc101d.map,57,132900,85254,115956,2288,9290,8697
brc101d.map,58,31072,89977,98777,6044,627,6454
brc101d.map,59,95576,120372,102355,207,2235,2101
brc101d.map,60,119432,93990,95591,222,42,42
brc101d.map,61,98768,98508,151665,525,1315,2844
brc101d.map,62,32339,57211,51989,2318,5708,8137
brc101d.map,63,80481,90286,105155,90,117,2549
brc101d.map,64,95009,59113,51990,2528,960,439
brc101d.map,65,149817,129953,68839,1488,4661,8099
brc101d.map,66,99338,139763,59445,10302,135,470
brc101d.map,67,20360,104507,123658,7656,2530,7823
brc101d.map,68,98697,76383,139506,124,9035,9522
brc101d.map,69,140697,155761,128490,109,184,185
brc101d.map,70,106098,71981,60229,242,727,364
brc101d.map,71,146924,118173,64751,6895,634,3847
brc101d.map,72,90867,57903,11837,217,9616,3906
brc101d.map,73,152009,93113,120715,3926,4486,4855
brc101d.map,74,47532,133839,120062,11196,269,318
brc101d.map,75,151377,66865,23847,4352,15344,10634
brc101d.map,76,129840,75068,51355,4171,357,3760
brc101d.map,77,97128,144158,122208,7695,137,2488
brc101d.map,78,144480,154186,67812,91,5308,10923
brc101d.map,79,95914,94957,86500,16,316,747
brc101d.map,80,151370,56783,38653,4162,10877,8971
brc101d.map,81,84609,79547,147956,39,6031,4739
brc101d.map,82,88656,79196,22875,41,8829,3750
brc101d.map,83,21608,126814,121238,9622,3973,7134
brc101d.map,84,55985,106222,110638,873,47,47
brc101d.map,85,75064,119140,125017,1797,8662,1933
brc101d.map,86,51280,101081,122916,7533,279,340
brc101d.map,87,138560,128809,2707,46,17422,14157
brc101d.map,88,78850,86221,101690,150,4922,151
brc101d.map,89,53180,85597,119060,4066,617,6756
brc101d.map,90,88712,156411,153856,4324,263,2043
brc101d.map,91,121145,98699,9621,1967,10462,9077
brc101d.map,92,113389,139788,21925,337,11240,7772
brc101d.map,93,55200,82093,134462,406,11738,3393
brc101d.map,94,31088,42462,143162,87,10373,13562
brc101d.map,95,124400,58204,60887,7451,688,5312
brc101d.map,96,100633,150085,3965,2023,8898,6271
brc101d.map,97,122276,97774,89351,147,3414,2784
brc101d.map,98,84649,99703,15301,174,7521,7169
brc101d.map,99,90314,60401,135706,2922,2023,3949
brc200d.map,0,50000,75406,55724,2781,4900,7871
brc200d.map,1,53762,87157,27399,446,3384,2849
brc200d.map,2,21696,62564,54645,96,2027,3680
brc200d.map,3,43154,49211,9964,444,534,641
brc200d.map,4,5873,72846,52591,1122,2012,1433
brc200d.map,5,46769,69750,47693,195,3319,3174
brc200d.map,6,58576,79526,78947,43,661,1729
brc200d.map,7,53345,68724,39156,1658,2082,3358
brc200d.map,8,56528,87168,48506,129,573,175
brc200d.map,9,88134,19646,49935,534,1948,260
brc200d.map,10,47235,53877,49140,15,682,756
brc200d.map,11,51088,22249,51202,2592,5243,7260
brc200d.map,12,17624,6404,84063,45,1006,1106
brc200d.map,13,57585,49390,53317,98,4670,6173
brc200d.map,14,26385,15588,44174,261,2429,1467
brc200d.map,15,21712,14591,35571,78,1183,529
brc200d.map,16,86659,66140,27351,1449,121,739
brc200d.map,17,54312,50133,49434,176,6730,5669
brc200d.map,18,55168,56641,49215,64,8568,6198
brc200d.map,19,77986,43758,55308,77,3396,2922
brc200d.map,20,17152,62609,55077,282,398,1003
brc200d.map,21,75852,54836,20215,461,1302,2564
brc200d.map,22,52137,85086,53537,491,6086,5197
brc200d.map,23,87619,97874,55227,60,1288,682
brc200d.map,24,68745,54055,56299,2563,1635,3213
brc200d.map,25,18632,5386,37073,120,68,163
brc200d.map,26,51617,21724,56549,2308,4815,4510
brc200d.map,27,31441,30428,13034,12,45,68
brc200d.map,28,13568,76463,55202,333,446,1785
brc200d.map,29,52969,11525,49213,281,7011,5025
brc200d.map,30,43291,56431,94284,4700,81,31
brc200d.map,31,86132,90211,50908,18,442,188
brc200d.map,32,68185,45749,31461,1611,293,2249
brc200d.map,33,70280,30426,25826,121,9,37
brc200d.map,34,37064,73301,49141,2181,2093,3509
brc200d.map,35,50729,92231,64709,374,4071,3327
brc200d.map,36,51420,52967,50693,18,7026,7154
brc200d.map,37,52531,49102,50597,8657,83,2888
brc200d.map,38,57907,34507,30926,2524,15,1008
brc200d.map,39,75410,71310,53279,21,1987,2409
brc200d.map,40,30369,22247,8970,498,40,84
brc200d.map,41,50076,22259,66692,2656,1905,2255
brc200d.map,42,22785,49444,49550,1111,304,890
brc200d.map,43,61583,69263,52715,67,2167,4740
brc200d.map,44,53704,81009,259,2742,444,407
brc200d.map,45,97365,86590,43189,66,373,249
brc200d.map,46,64658,61133,30980,1730,1056,1361
brc200d.map,47,42631,95812,80004,441,751,1997
brc200d.map,48,43250,49900,13570,48,228,306
brc200d.map,49,17625,50693,53239,1263,103,182
brc200d.map,50,75345,44213,31955,1880,302,1490
brc200d.map,51,53272,20170,60623,721,4122,3717
brc200d.map,52,50993,43756,86602,607,233,1852
brc200d.map,53,83561,47743,49772,874,25,597
brc200d.map,54,76432,22231,51613,156,2085,4158
brc200d.map,55,23793,45330,54165,2316,170,2563
brc200d.map,56,75409,75366,2839,44,659,1675
brc200d.map,57,18202,75373,57399,563,2271,2455
brc200d.map,58,28324,51324,56731,51,340,1548
brc200d.map,59,50698,52247,18694,20,2726,3022
brc200d.map,60,50769,87637,92740,330,19,19
brc200d.map,61,42129,39623,55627,1080,2759,4936
brc200d.map,62,34513,53793,51670,1782,598,3453
brc200d.map,63,76929,30886,52597,2890,359,3278
brc200d.map,64,31969,87687,88117,885,142,281
